suggestionId,author,title,category,votes,timestamp
49997,camptatum,"Please, please give me a star for each coffee I purchase",Starbucks+Card,350940,10/1/2012 7:33 PM
41944,katlatte,Buy 10 get 1 free!-,"Ordering,+Payment+%26+Pick-Up",107790,5/13/2008 7:33 PM
102990,ZGdoglvr,Almond Milk Please,Coffee+%26+Espresso+Drinks,95420,8/9/2011 10:10 AM
38067,conniemx,Great conversation at Starbucks?,Building+Community,95190,3/24/2008 8:47 PM
10194,deetfind,Recycling,Social+Responsibility,90960,10/9/2008 10:28 AM
107407,evanschwa,Alternatives to dairy and soy,Coffee+%26+Espresso+Drinks,90870,11/3/2010 11:38 AM
49697,ibarista,Rewards for number of years at Gold Status,Starbucks+Card,81400,10/16/2013 9:40 AM
46359,hjohnson14,Electronic Rewards,Starbucks+Card,80760,4/15/2011 8:18 PM
77507,stef6886,Birthday Brew,Other+Product+Ideas,79420,3/19/2008 12:11 PM
48918,schteekaline,Have double or triple points days,Starbucks+Card,73480,10/30/2013 1:29 AM
50089,hmaxone,Black Rewards Level!? (higher than gold),Starbucks+Card,71570,9/20/2012 10:37 PM
47738,jiujitsugirl,Bring back Free Syrup / Soy for My Rewards members,Starbucks+Card,68280,9/18/2012 6:19 AM
50020,Rufusrw,WiFi,Atmosphere+%26+Locations,67200,3/19/2008 1:33 PM
48817,Orlando,10% Bonus on Starbucks Card Reloads,Starbucks+Card,63110,3/24/2008 8:31 AM
49531,RMnmtkl,Connect Treat Receipt to Gold Card,Starbucks+Card,61430,7/24/2013 6:44 PM
49800,Highlandsgirl8,Email a reminder before Free Drink Reward and Birthday Gifts expire.,Starbucks+Card,60300,10/16/2013 5:45 AM
99650,freesyrup,Free syrup for gold rewards cards,Coffee+%26+Espresso+Drinks,52220,11/20/2013 6:09 PM
48908,Bristolian,Notify barista on-screen of card reward.,Starbucks+Card,45060,4/15/2013 3:50 PM
204,Suz01,"I'll buy you a drink"" - remotely",Other+Product+Ideas,43950,3/20/2008 11:45 PM
26236,4XXS,Automatic ordering via swipe of card,"Ordering,+Payment+%26+Pick-Up",39950,3/19/2008 11:18 AM
11040,IMWizOrt,Starbucks VIP Card,Other+Experience+Ideas,39570,3/19/2008 12:09 PM
99570,csallred,Free Drink when you purchase a mug or tumbler,Coffee+%26+Espresso+Drinks,38900,11/5/2013 12:59 PM
101487,suzy_mocha,special discounts days for your gold card members,Coffee+%26+Espresso+Drinks,38100,11/20/2013 6:36 PM
35157,janlooper,Name badges for baristas,Building+Community,37590,6/14/2010 4:23 PM
41982,Captain4,Gratuity when using gift card,"Ordering,+Payment+%26+Pick-Up",37470,6/9/2010 6:38 PM
48179,PowerFactory,Reward Drink Expiration,Starbucks+Card,36830,10/18/2013 10:55 AM
64629,cns0714,Please add some VEGAN snacks and sweets options!!,Food,36430,1/3/2012 4:45 PM
99634,ElitheCat,3 shots in a venti espresso drink,Coffee+%26+Espresso+Drinks,36130,11/6/2013 8:38 PM
98053,meme,sell  reusable sleeves,Merchandise+%26+Music,32980,3/19/2008 12:02 PM
108171,mransom,Coffee ice cubes for iced drinks,Coffee+%26+Espresso+Drinks,32720,9/28/2010 11:19 AM
64198,fictoriee,Gluten Free Please...,Food,32570,1/5/2013 10:06 AM
107595,MyDora,"Have a option of dark chocolate in coffee, espresso, and frap drinks.  It's good for the heart!",Coffee+%26+Espresso+Drinks,32190,9/14/2012 10:58 AM
27700,Brendan,separate brewed coffee line/card swiping,"Ordering,+Payment+%26+Pick-Up",30690,4/28/2008 2:40 PM
99511,Jessica85,Bring back FREE syrups?!?,Coffee+%26+Espresso+Drinks,29370,11/20/2013 6:11 PM
27511,pinoak19,"How about ""A Penny to Fight PKD"" Campaign?",Building+Community,29300,3/29/2008 10:14 AM
46018,timsqueen,Bring back Gold Rewards,Starbucks+Card,29120,9/18/2012 1:00 PM
49985,Diele,Star Milestone Incentives,Starbucks+Card,28800,9/8/2010 5:34 PM
93129,bonebag227,Lactose Free Milk Option,Coffee+%26+Espresso+Drinks,26720,8/8/2010 6:59 PM
116312,kaichela,Free drink on your gold day anniversary,Frappuccino+Beverages,26510,11/20/2013 6:15 PM
46449,ElisabethsTeam,Keep Free Syrups!,Starbucks+Card,24170,9/18/2012 8:00 AM
50223,mzwynter,You have lost the community coffee house feel,Atmosphere+%26+Locations,24130,3/20/2008 3:35 PM
107408,emd220,3 shots in a venti espresso drinks,Coffee+%26+Espresso+Drinks,24080,11/20/2013 6:05 PM
2197,Lisa,Reusable cups,Social+Responsibility,23010,3/19/2008 12:23 PM
107602,diek,Bring back the Mocha Valencia,Coffee+%26+Espresso+Drinks,22390,2/17/2012 4:47 PM
44571,Momx4,Bring Back Original Gold Card,Starbucks+Card,21970,1/21/2010 10:02 AM
54643,JoAnna,Sofas and Chairs,Atmosphere+%26+Locations,21910,2/12/2009 9:21 AM
42206,Starryeyes,Please change the expiration date on free drinks earned from 30 days to at least 90 days!with my gold card.  Expiration after 30 days is not enough!,"Ordering,+Payment+%26+Pick-Up",21800,4/8/2013 1:03 PM
26714,bec,Raise the Cup Discount,"Ordering,+Payment+%26+Pick-Up",21780,3/25/2008 7:41 PM
96541,colemkiniry,Offer a Skinny Pumpkin Spice Latte!!,Coffee+%26+Espresso+Drinks,21330,9/23/2010 10:04 AM
218,Goonie,"Lose the high-fructose corn syrup (in flavor shots), go for real sugar",Tea+%26+Other+Drinks,20170,3/19/2008 5:30 PM
55658,bobreese,Sanitation In Bathrooms,Atmosphere+%26+Locations,19590,3/19/2008 11:38 AM
42351,JadedBarista,Improve the Rewards Program,"Ordering,+Payment+%26+Pick-Up",19530,9/9/2013 10:07 PM
83333,IronGuar,"Less Ice, More Drink",Tea+%26+Other+Drinks,19430,3/31/2008 7:43 AM
66168,PartnerMolly,Mark down prices in the evening for food that will be marked out that night.,Food,18810,11/1/2013 4:44 PM
64056,jcsoda,Half-off Pasteries after 9 P.M.,Food,18690,4/11/2008 8:10 AM
49669,stjapkes,Load email offers on starbucks card,Starbucks+Card,18610,11/6/2013 12:25 PM
48956,musikdude,Year End Total Bonus Reward,Starbucks+Card,18120,11/20/2013 6:44 PM
93886,zkatk,Bring Back Almond!,Coffee+%26+Espresso+Drinks,18040,5/13/2010 7:22 PM
50866,Judy,I could use a shelf!,Atmosphere+%26+Locations,18040,3/20/2008 4:13 PM
82769,GrandeSFVLatte,Paperless Treat Receipts for gold card members,New+Technology,17700,10/14/2010 2:45 PM
49463,usedtobeafan,Require licensee stores to participate in rewards and card programs,Starbucks+Card,17530,11/14/2013 9:00 AM
49915,starbaby,"More kid friendly? Please, no.",Atmosphere+%26+Locations,17400,3/19/2008 4:19 PM
67725,Julieyum,Please bring back old bakery goods!,Food,17080,6/10/2013 3:07 PM
26242,CustIdea0001,Happy Hours,"Ordering,+Payment+%26+Pick-Up",16890,3/18/2008 3:21 PM
49925,catville,Later Weekend Hours,Atmosphere+%26+Locations,16810,3/19/2008 12:03 PM
108169,coffeediva212,Stop charging $0.60 extra for SOY!,Coffee+%26+Espresso+Drinks,16430,11/20/2013 6:13 PM
104331,moonfish124,More Products Made in the USA,Merchandise+%26+Music,16370,11/7/2010 3:35 AM
103058,VicHugo,Make sure customers get full drinks.,Coffee+%26+Espresso+Drinks,16350,4/18/2011 11:42 AM
53044,jerilee,no smoking by front door,Atmosphere+%26+Locations,16290,5/11/2008 5:54 PM
2185,DoctorT,Biodegradable drink & food containers,Social+Responsibility,16100,3/19/2008 1:58 PM
92385,MarshaDell,Coupons for Tea Drinkers,Tea+%26+Other+Drinks,16040,4/23/2013 9:52 AM
107368,ckenndy3,earned rewards never expire,Coffee+%26+Espresso+Drinks,15930,11/22/2013 12:50 PM
26234,chriss,Get rid of tip jars,"Ordering,+Payment+%26+Pick-Up",15900,3/19/2008 11:23 AM
87686,Queen423,Sugar - free Chai Tea Latte,Tea+%26+Other+Drinks,15220,9/21/2011 10:05 AM
107697,ruvain,Transactions,Coffee+%26+Espresso+Drinks,14380,11/20/2013 6:20 PM
45565,{FBE035B4-857F-4ACC-9600-4FBF30DCD3A4},Flexible Gold Card Benefits,Starbucks+Card,14370,10/20/2011 4:35 PM
107585,CoffeeAddikt,BRING BACK the FREE Tall beverage with the purchase of a bag of coffee,Coffee+%26+Espresso+Drinks,14370,11/1/2012 7:42 PM
102548,chu,free drink/food award that does not expire,Coffee+%26+Espresso+Drinks,14360,11/20/2013 7:13 PM
95592,tulefog,"Plain soymilk, no sugar",Coffee+%26+Espresso+Drinks,14260,5/13/2011 7:06 AM
16351,MamaMcCarl,Barista Appreciation Day,Other+Experience+Ideas,14080,1/3/2011 10:51 AM
107842,Lindzpy87,Take High Fructose Corn Syrup out of the Caramel Sauce,Coffee+%26+Espresso+Drinks,14030,4/19/2012 11:36 AM
83383,HG,Soy charge,Tea+%26+Other+Drinks,13830,3/23/2008 9:15 PM
99605,SteffiR,Less ice on cold drinks.. And more of the cold drink itself!,Coffee+%26+Espresso+Drinks,13790,11/20/2013 6:11 PM
49341,zuroffh1,Bring back free extras for gold card.,Starbucks+Card,13210,11/20/2013 6:19 PM
67761,mickey,Sugar Free / Low Carb / Gluten Free,Food,13120,3/20/2008 8:02 PM
45497,kmi29,Starbucks Mini Gold Card,Starbucks+Card,12940,3/25/2010 9:45 PM
338,wychykelly,Bring back Mocha Coconut and Coconut Crme Frappuccino Blended Beverages,Frappuccino+Beverages,12650,4/6/2014 6:48 AM
40225,lilikoi,Double points day!,Starbucks+Card,12540,6/25/2011 1:53 PM
67800,mlbarber,Bring Back at Least Some of Original Pastry Line,Food,12540,11/5/2013 11:55 AM
82990,benchley2,Order through app,New+Technology,12340,7/12/2012 7:57 PM
54638,mulderjam,local art in stores please,Atmosphere+%26+Locations,12140,1/28/2009 4:50 PM
42302,mynameislauren,Increase personal cup discount with prices please!,"Ordering,+Payment+%26+Pick-Up",12130,3/27/2012 4:04 PM
20273,gretchen1109,Rewards at Target,Other+Experience+Ideas,12120,11/20/2013 6:47 PM
30332,MimiSnn,Coupons,"Ordering,+Payment+%26+Pick-Up",12120,12/15/2008 9:59 AM
11081,julieC,Voting system on this site.,Other+Experience+Ideas,12080,3/19/2008 1:44 PM
26237,CustIdea0001,Want my drink to taste the same at all stores,"Ordering,+Payment+%26+Pick-Up",12070,3/18/2008 3:21 PM
96371,quadshotabe,Samples Days,Coffee+%26+Espresso+Drinks,11840,6/3/2009 6:02 AM
116577,lrschear,More Comfortable Seating Areas,Atmosphere+%26+Locations,11780,12/8/2009 1:20 PM
50033,cmlstudio,Allow free  rewards to last longer than 30 days,Starbucks+Card,11770,4/22/2014 12:57 PM
92051,crnemz,More Variety For Tea Drinkers,Tea+%26+Other+Drinks,11700,3/31/2010 10:05 PM
